127.0.0.1 - - [28/Nov/2023:19:27:28 +0900] "GET / HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET / HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-image/sapporo-snow-festival.png HTTP/1.1" 200 414194
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-image/japan-419763_1920.jpg HTTP/1.1" 200 542183
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-image/kinkakuji-japan-2328557_1920.jpg HTTP/1.1" 200 757263
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-image/lucerne-4285441_1920.jpg HTTP/1.1" 200 612757
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-image/dragon-224930_1920.jpg HTTP/1.1" 200 489801
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:29 +0900] "GET /resources/image/main-image/italian-venezia-7700549_1920.jpg HTTP/1.1" 200 1064241
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:35 +0900] "GET /product/list HTTP/1.1" 200 23427
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:35 +0900] "GET /resources/css/product_list.css HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:35 +0900] "GET /resources/js/product_list.js HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:35 +0900] "GET /product/image HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:37 +0900] "GET / HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:37 +0900] "GET /resources/js/slider.js HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:37 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:37 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:37 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:37 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /user/join HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /resources/css/common.css HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /resources/css/user.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /resources/image/main-logo/landmark-logo2.png HTTP/1.1" 200 63558
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /resources/css/input.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /resources/js/dropMenu.js HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:27:48 +0900] "GET /resources/js/user.js HTTP/1.1" 200 10600
0:0:0:0:0:0:0:1 - - [28/Nov/2023:19:28:16 +0900] "GET /user/checkId/fecd987 HTTP/1.1" 500 1
